store_ID,store_name,post,address,hour,tel,kibo,parking
20013,BOOKOFF 青梅店,〒198-0024,東京都青梅市新町4-19-5,10:00～21:00,0428-32-1255,中型店舗,60台
20016,BOOKOFF 平塚四之宮店,〒254-0014,神奈川県平塚市四之宮3-9-1,10:00～21:30,0463-22-7510,中型店舗,24台
20020,BOOKOFF PLUS 伊勢原店,〒259-1131,神奈川県伊勢原市伊勢原3-5-1,10:00～21:00,0463-96-2221,中型店舗,28台
20024,BOOKOFF 川口領家店,〒332-0004,埼玉県川口市領家1-11-7,10:00～21:00,048-226-2213,小型店舗,17台
20025,BOOKOFF 玉戸モール店,〒308-0847,茨城県筑西市玉戸字山ケ島1018-35,10:00～21:00,0296-28-8771,中型店舗,100台
20033,BOOKOFF あすみが丘店,〒267-0066,千葉県千葉市緑区あすみが丘1-38-3,10:00～21:00,043-295-7355,中型店舗,23台
20040,BOOKOFF 大宮中川店,〒337-0043,埼玉県さいたま市見沼区大字中川202-3,10:00～21:00,048-688-3733,中型店舗,28台
20042,BOOKOFF PLUS 古淵駅前店（本・ソフト館）,〒252-0344,神奈川県相模原市南区古淵2-19-14,10:00～21:30,042-750-5011,大型店舗,19台
20050,BOOKOFF 仙台松森店,〒981-3111,宮城県仙台市泉区松森字関場13-1,10:00～21:00,022-375-4443,中型店舗,100台
20052,BOOKOFF 八王子堀之内店,〒192-0355,東京都八王子市堀之内3-3-1,10:00～21:00,042-679-0221,中型店舗,35台
20058,BOOKOFF 大塚駅前店,〒170-0005,東京都豊島区南大塚1-51-11,10:00～22:00,03-5976-5211,小型店舗,なし
20069,BOOKOFF 東所沢店,〒359-0026,埼玉県所沢市牛沼330,10:00～21:00,04-2993-0920,中型店舗,70台
20072,BOOKOFF 7号酒田店,〒998-0875,山形県酒田市東町1-9-35,10:00～21:00,0234-21-2645,中型店舗,50台
20077,BOOKOFF 札幌前田店,〒006-0815,北海道札幌市手稲区前田五条13-3-1,10:00～21:00,011-699-2661,中型店舗,1000台
20079,BOOKOFF 横浜あざみ野店,〒225-0011,神奈川県横浜市青葉区あざみ野1-4-3,10:00～21:30,045-909-4688,中型店舗,6台
20081,BOOKOFF 下妻市役所前店,〒304-0064,茨城県下妻市本城町2-30,10:00～21:00,0296-30-1353,中型店舗,40台
20082,BOOKOFF PLUS 大蔵多摩堤通り店,〒157-0074,東京都世田谷区大蔵6-20-29,10:00～21:00,03-5494-8253,中型店舗,8台
20090,BOOKOFF PLUS 荻窪駅北口店,〒167-0032,東京都杉並区天沼3-3-3,10:00～22:00,03-5347-5098,中型店舗,なし
20092,BOOKOFF 泉大津店,〒595-0072,大阪府泉大津市松之浜町1-1-18,10:00～21:40,0725-20-2152,中型店舗,60台
20097,BOOKOFF PLUS 363号尾張旭店,〒488-0033,愛知県尾張旭市東本地ヶ原町2-1,10:00～21:00,0561-55-0931,中型店舗,58台
20098,BOOKOFF PLUS 熱田国道1号店,〒456-0031,愛知県名古屋市熱田区神宮4-8-50,10:00～22:00,052-678-5300,中型店舗,130台
20099,BOOKOFF 安城店,〒446-0044,愛知県安城市百石町1-22-1,10:00～21:00,0566-79-3011,中型店舗,57台
20102,BOOKOFF 花小金井店,〒187-0002,東京都小平市花小金井6-26-13,10:00～22:00,042-460-8188,中型店舗,46台
20105,BOOKOFF 藤沢用田店,〒252-0821,神奈川県藤沢市用田491-1,10:00～21:30,0466-49-1015,中型店舗,55台
20108,BOOKOFF 青森東バイパス店,〒030-0919,青森県青森市はまなす2-1-31,10:00～21:00,017-737-0013,中型店舗,45台
20109,BOOKOFF 秋田広面店,〒010-0003,秋田県秋田市東通4-1-37,10:00～21:00,018-884-7917,小型店舗,25台
20110,BOOKOFF 山形寿店,〒990-2413,山形県山形市南原町2-8-4,10:00～21:00,023-626-8150,中型店舗,40台
20111,BOOKOFF 山形桜田店,〒990-2323,山形県山形市桜田東1-1-61,10:00～21:00,023-626-8152,小型店舗,40台
20114,BOOKOFF PLUS 池袋要町店,〒171-0043,東京都豊島区要町1-10-3,10:00～22:00,03-5917-5810,中型店舗,なし
20116,BOOKOFF 13号横手店,〒013-0061,秋田県横手市条里3-12-25,10:00～21:00,0182-35-4702,中型店舗,30台
20119,BOOKOFF 京都三条駅ビル店,〒605-0009,京都府京都市東山区三条通大橋東入大橋町117,10:00～23:00,075-762-0707,中型店舗,なし
20120,BOOKOFF SUPER BAZAAR 川崎モアーズ店,〒210-0007,神奈川県川崎市川崎区駅前本町7 岡田屋モアーズ3･6F,10:00～22:00,044-221-6905,大型店舗,30台
20122,BOOKOFF 246川崎梶ヶ谷店,〒213-0033,神奈川県川崎市高津区下作延3-7-7 プレミール梶ヶ谷,10:00～21:30,044-870-6340,中型店舗,30台
20123,BOOKOFF 102号弘前高田店,〒036-8084,青森県弘前市大字高田5-1-5,10:00～21:00,0172-29-2520,中型店舗,52台
20126,BOOKOFF 本庄小島店,〒367-0061,埼玉県本庄市小島4-205-1,10:00～21:00,0495-27-2254,中型店舗,40台
20127,BOOKOFF PLUS 名古屋千代田橋店,〒464-0011,愛知県名古屋市千種区千代田橋2-3-39,10:00～21:00,052-719-0290,中型店舗,36台
20128,BOOKOFF 大和つきみ野店,〒242-0002,神奈川県大和市つきみ野4-12-3,10:00～21:30,046-271-0206,中型店舗,40台
20130,BOOKOFF 八王子駅北口店,〒192-0083,東京都八王子市旭町12-4,10:00～21:30,042-631-0756,中型店舗,なし
20131,BOOKOFF 米沢中央店,〒992-0045,山形県米沢市中央7-4-102,10:00～21:00,0238-26-4680,中型店舗,50台
20133,BOOKOFF 東松山松葉店,〒355-0017,埼玉県東松山市松葉町3-11-14,10:00～21:00,0493-21-4665,中型店舗,70台
20134,BOOKOFF 川崎東有馬店,〒216-0002,神奈川県川崎市宮前区東有馬3-23-15,10:00～21:30,044-860-5752,中型店舗,23台
20135,BOOKOFF SUPER BAZAAR 広島大手町店,〒730-0051,広島県広島市中区大手町2-7-6,10:00～22:00,082-543-6216,大型店舗,408台
20137,BOOKOFF PLUS 西五反田店,〒141-0031,東京都品川区西五反田2-29-5,10:00～22:00,03-5437-6192,中型店舗,なし
20148,BOOKOFF SUPER BAZAAR 東千葉祐光店,〒260-0007,千葉県千葉市中央区祐光3-2,10:00～21:00,043-202-2155,大型店舗,250台
20151,BOOKOFF ＪＲ本千葉駅前店,〒260-0854,千葉県千葉市中央区長洲1-30-1,10:00～21:00,043-202-7281,中型店舗,4台
20152,BOOKOFF SUPER BAZAAR 多摩永山店,〒206-0025,東京都多摩市永山6-29,10:00～20:00,042-357-2701,大型店舗,185台
20160,BOOKOFF 武蔵新城店,〒211-0044,神奈川県川崎市中原区新城1-14-1,10:00～21:30,044-741-3258,小型店舗,なし
20163,BOOKOFF PLUS 16号相模原上鶴間店,〒252-0302,神奈川県相模原市南区上鶴間2-5-2,10:00～21:00,042-767-3116,中型店舗,101台
20164,BOOKOFF 浜田山駅前店,〒168-0065,東京都杉並区浜田山3-34-5,10:00～23:00,03-5357-0760,小型店舗,なし
20165,BOOKOFF PLUS 札幌屯田店,〒002-0856,北海道札幌市北区屯田六条6-3-14,10:00～20:00,011-774-2247,中型店舗,80台
20166,BOOKOFF PLUS 16号相模原富士見店,〒252-0236,神奈川県相模原市中央区富士見3-15-1,10:00～21:00,042-730-2370,中型店舗,35台
20169,BOOKOFF 松戸駅西口店,〒271-0091,千葉県松戸市本町18-4,10:00～22:00,047-703-3051,小型店舗,なし
20172,BOOKOFF 葛西駅前店,〒134-0083,東京都江戸川区中葛西5-34-11,10:00～22:00,03-5667-8263,中型店舗,なし
20173,BOOKOFF PLUS 所沢プロぺ通り店,〒359-1116,埼玉県所沢市東町12-1,10:00～21:00,04-2929-9591,中型店舗,なし
20178,BOOKOFF 西台高島通り店,〒175-0082,東京都板橋区高島平1-75-10,10:00～22:00,03-5921-3220,中型店舗,8台
20179,BOOKOFF 大和西鶴間店,〒242-0005,神奈川県大和市西鶴間1-17-2,10:00～21:30,046-271-2484,中型店舗,11台
20184,BOOKOFF 寒河江市役所前通り店,〒991-0003,山形県寒河江市西根字石川西255-12,10:00～21:00,0237-83-5688,中型店舗,22台
20185,BOOKOFF 山形天童郵便局前店,〒994-0014,山形県天童市糠塚1-2-7,10:00～21:00,023-656-8722,中型店舗,40台
20190,BOOKOFF 練馬光が丘店,〒179-0075,東京都練馬区高松4-22-6,10:00～22:00,03-5971-3315,中型店舗,50台
20192,BOOKOFF 岐阜オーキッドパーク店,〒500-8891,岐阜県岐阜市香蘭2-23 West2F,10:00～21:00,058-251-8118,中型店舗,650台
20195,BOOKOFF PLUS 50号水戸元吉田店,〒310-0836,茨城県水戸市元吉田町1320-1,10:00～21:00,029-304-2020,中型店舗,60台
20199,BOOKOFF 新宿靖国通り店,〒160-0022,東京都新宿区新宿5-2-1,10:00～21:00,03-5368-0654,小型店舗,なし
20200,BOOKOFF 青森石江店,〒038-0003,青森県青森市大字石江字三好102-1,10:00～21:00,017-761-4522,中型店舗,70台
20203,BOOKOFF 海老名さがみ野駅前店,〒243-0401,神奈川県海老名市東柏ケ谷2-25-25,10:00～21:30,046-236-5122,中型店舗,30台
20205,BOOKOFF 茅ヶ崎駅北口店,〒253-0044,神奈川県茅ヶ崎市新栄町2-8 共和ビル,10:00～20:00,0467-84-5386,中型店舗,16台
20208,BOOKOFF 6号ひたちなか市毛店,〒312-0033,茨城県ひたちなか市市毛909-2,10:00～21:00,029-354-6725,中型店舗,73台
20209,BOOKOFF 7号能代店,〒016-0872,秋田県能代市芝童森5-13,10:00～21:00,0185-89-7060,中型店舗,25台
20212,BOOKOFF 新瑞橋駅前店,〒467-0806,愛知県名古屋市瑞穂区瑞穂通8-15,12:00～21:00,052-859-2500,小型店舗,なし
20216,BOOKOFF 7号秋田土崎店,〒011-0941,秋田県秋田市土崎港北7-178-2,10:00～21:00,018-880-6020,小型店舗,70台
20218,BOOKOFF 豊田朝日店,〒471-0031,愛知県豊田市朝日町3-36-1,10:00～21:00,0565-32-1616,中型店舗,22台
20224,BOOKOFF 長久手グリーンロード店,〒480-1122,愛知県長久手市城屋敷1212,10:00～21:00,0561-64-2081,中型店舗,35台
20227,BOOKOFF 仙台六丁の目店,〒984-0013,宮城県仙台市若林区六丁の目南町2-2,10:00～22:00,022-390-4085,中型店舗,101台
20228,BOOKOFF PLUS 36号札幌美しが丘店,〒004-0811,北海道札幌市清田区美しが丘一条5-1-10,10:00～21:00,011-888-1668,中型店舗,110台
20229,BOOKOFF ＪＲ蒲田駅東口店,〒144-0052,東京都大田区蒲田5-26-8,10:00～23:00,03-5713-7651,中型店舗,なし
20230,BOOKOFF PLUS 札幌川沿店,〒005-0801,北海道札幌市南区川沿一条1-3-70,10:00～20:00,011-578-4511,中型店舗,100台
20232,BOOKOFF SUPER BAZAAR 仙台泉古内店,〒981-3123,宮城県仙台市泉区古内字新坂の上34-6,10:00～21:00,022-772-1861,大型店舗,250台
20233,BOOKOFF 上野毛店,〒158-0091,東京都世田谷区中町3-16-3,10:00～21:00,03-5758-7886,小型店舗,6台
20234,BOOKOFF 守谷松前台店,〒302-0102,茨城県守谷市松前台2-1-1,10:00～21:00,0297-21-1411,中型店舗,21台
20237,BOOKOFF 静岡榛原店,〒421-0421,静岡県牧之原市細江2081,10:00～21:00,0548-22-6488,中型店舗,27台
20238,BOOKOFF PLUS 東名川崎インター店,〒216-0005,神奈川県川崎市宮前区土橋6-1-1,10:00～22:00,044-871-5625,中型店舗,35台
20239,BOOKOFF 日立金沢店,〒316-0015,茨城県日立市金沢町2-3-24,10:00～21:00,0294-38-8009,小型店舗,31台
20240,BOOKOFF SUPER BAZAAR 国道1号多摩川大橋店,〒212-0003,神奈川県川崎市幸区小向町5-1,10:00～21:00,044-520-3365,大型店舗,100台
20241,BOOKOFF 横浜鴨居店,〒226-0002,神奈川県横浜市緑区東本郷6-1-26,10:00～22:00,045-470-6505,中型店舗,74台
20242,BOOKOFF 京都山科西野店,〒607-8346,京都府京都市山科区西野山階町25-5,10:00～22:00,075-583-6188,中型店舗,63台
20243,BOOKOFF 和歌山国体道路店,〒641-0007,和歌山県和歌山市小雑賀725,10:00～23:00,073-421-3588,中型店舗,59台
20244,BOOKOFF 河内長野寿店,〒586-0026,大阪府河内長野市寿町2-6,10:00～21:30,0721-50-1688,中型店舗,23台
20246,BOOKOFF 奈良法華寺店,〒630-8001,奈良県奈良市法華寺町226,10:00～22:00,0742-32-4188,中型店舗,60台
20250,BOOKOFF 弘前城東店,〒036-8053,青森県弘前市和泉2-18-2,10:00～21:00,0172-29-5432,中型店舗,50台
20252,BOOKOFF 京都宝ヶ池店,〒606-0031,京都府京都市左京区岩倉南桑原町54,10:00～22:00,075-706-6262,中型店舗,25台
20257,BOOKOFF 京都東寺駅前店,〒601-8424,京都府京都市南区西九条川原城町97,10:00～22:00,075-693-4371,中型店舗,なし
20261,BOOKOFF 浅草稲荷町店,〒111-0036,東京都台東区松が谷1-3-5,10:00～21:00,03-5830-1383,小型店舗,なし
20263,BOOKOFF 武蔵境連雀通り店,〒180-0023,東京都武蔵野市境南町5-5-16,10:00～21:30,0422-30-7588,中型店舗,26台
20264,BOOKOFF 堺インター店,〒599-8265,大阪府堺市中区八田西町2-21-35,10:00～21:40,072-270-3600,中型店舗,29台
20266,BOOKOFF 岩倉大地店,〒482-0026,愛知県岩倉市大地町蔵本1-1,10:00～21:00,0587-65-7881,小型店舗,57台
20270,BOOKOFF SUPER BAZAAR 横浜瀬谷南台店,〒246-0032,神奈川県横浜市瀬谷区南台1-45-2,10:00～21:00,045-306-0890,大型店舗,160台
20272,BOOKOFF 名古屋味鋺店,〒462-0012,愛知県名古屋市北区楠5-101,10:00～21:00,052-909-5880,中型店舗,20台
20274,BOOKOFF つくばテクノパーク桜店,〒305-0003,茨城県つくば市桜1-12-1,10:00～21:00,029-850-6221,中型店舗,40台
