store_ID,store_name,address,lat,lng
10160,BOOKOFF 会津門田店,福島県会津若松市飯寺北3丁目10番22号,37.478496,139.9022091
10162,BOOKOFF 大治店,愛知県海部郡大治町三本木屋形193-1,35.16889311,136.8196481
10163,BOOKOFF 春日店,福岡県春日市天神山7-2,33.51694489,130.4459067
10164,BOOKOFF 米子卸団地店,鳥取県米子市両三柳2360-6,35.45508972,133.3326392
10165,BOOKOFF 柏崎店,新潟県柏崎市藤元町1-1,37.37790004,138.5775292
10171,BOOKOFF 高松東バイパス店,香川県高松市六条町1205-1,34.30352137,134.0831015
10172,BOOKOFF 北方店,岐阜県本巣市上真桑2218-1,35.43478647,136.6786392
10178,BOOKOFF 下郡店,大分県大分市大字津留1916-1,33.23335439,131.6298752
10180,BOOKOFF 福井二の宮店,福井県福井市二の宮2-4-15,36.08504624,136.2216663
10182,BOOKOFF 50号桐生西店,群馬県みどり市笠懸町鹿3950,36.38501691,139.2683331
10191,BOOKOFF 掛川店,静岡県掛川市大池2999-1,34.77269779,137.9934238
10192,BOOKOFF 北41条店,北海道札幌市東区北四十一条東6丁目 マウンテンビル88_1Ｆ,43.11081343,141.3540443
10193,BOOKOFF 福島南店,福島県福島市黒岩字浜井場10-2,37.72714905,140.4697545
10194,BOOKOFF 津島店,愛知県津島市東柳原町2-51-1,35.17800186,136.7370028
10195,BOOKOFF 鹿沼店,栃木県鹿沼市上野町262-5,36.56736357,139.7639334
10196,BOOKOFF 苫小牧見山店,北海道苫小牧市見山町4-1-14,42.63503861,141.5622437
10200,BOOKOFF 新潟河渡店,新潟県新潟市東区河渡庚135-1 マーケットシティ河渡内,37.93248037,139.1018009
10201,BOOKOFF 宗像店,福岡県宗像市王丸763-2,33.78408222,130.5449262
10202,BOOKOFF 守恒店,福岡県北九州市小倉南区守恒本町2-7-5,33.83493384,130.8719608
10204,BOOKOFF 宇都宮環状鶴田店,栃木県宇都宮市鶴田町1249-1,36.55596056,139.8508497
10205,BOOKOFF 岡谷若宮店,長野県岡谷市若宮1-8134-2,36.06303765,138.061821
10208,BOOKOFF 佐久中込店,長野県佐久市中込2971-1,36.24908564,138.4788019
10209,BOOKOFF かりがね店,愛知県刈谷市築地町1-3-5,35.00993131,137.0164356
10211,BOOKOFF 国府店,徳島県徳島市国府町井戸字堂ノ裏30-7,34.08626898,134.4858062
10212,BOOKOFF 宇都宮竹林店,栃木県宇都宮市竹林町506-2,36.58070217,139.9089521
10213,BOOKOFF 武生店,福井県越前市押田1-3-5,35.90766532,136.1859775
10214,BOOKOFF 福生店,東京都福生市武蔵野台2-31-3,35.75058572,139.3299336
10215,BOOKOFF 高松国分寺店,香川県高松市国分寺町新居1371-2,34.2999396,133.9637703
10219,BOOKOFF 沼津リコー通り店,静岡県沼津市寿町23-33,35.11749122,138.8594466
10220,BOOKOFF 宜野湾店,沖縄県宜野湾市宜野湾2-1-17,26.26280177,127.7610589
10222,BOOKOFF 御殿場店,静岡県御殿場市東田中2-2-1,35.30098086,138.9398518
10225,BOOKOFF PLUS 佐賀南部バイパス店,佐賀県佐賀市本庄町大字袋297,33.23911218,130.3008526
10226,BOOKOFF PLUS 浜北店,静岡県浜松市浜名区本沢合805,34.80993049,137.7959234
10227,BOOKOFF 千葉ニュータウン中央店,千葉県白井市桜台1-1-7 アクロスプラザ千葉ニュータウン内,35.79961389,140.1096429
10228,BOOKOFF 札幌南郷20丁目店,北海道札幌市白石区南郷通20丁目南3-10,43.02913525,141.4379412
10229,BOOKOFF 恵庭バイパス店,北海道恵庭市黄金南7-18-3,42.88995019,141.6017779
10230,BOOKOFF 長野高田店,長野県長野市高田1174,36.63796443,138.2113845
10234,BOOKOFF PLUS 徳島沖浜店,徳島県徳島市沖浜3-24,34.04906662,134.5505173
10237,BOOKOFF 佐野店,栃木県佐野市浅沼町浅沼802,36.31013516,139.5918905
10238,BOOKOFF 北烏山店,東京都世田谷区北烏山5-21-11,35.68250307,139.587675
10239,BOOKOFF 宮崎駅東口店,宮崎県宮崎市宮崎駅東1丁目2-6,31.91481842,131.435732
10241,BOOKOFF 津山店,岡山県津山市二宮97-1,35.06139326,133.9588803
10242,BOOKOFF 札幌光星店,北海道札幌市東区北七条東8-2-1,43.07180901,141.3658983
10244,BOOKOFF 黒磯店,栃木県那須塩原市豊浦中町100-712,36.96674102,140.0464017
10245,BOOKOFF 燕三条店,新潟県燕市井土巻2-67,37.65351674,138.9299522
10251,BOOKOFF 清水岡町店,静岡県静岡市清水区岡町6-1,35.00817818,138.4856491
10252,BOOKOFF PLUS 松本芳川店,長野県松本市小屋南1-11-40,36.1821361,137.9558983
10253,BOOKOFF 大分森町店,大分県大分市森町555-1,33.22608041,131.6810124
10255,BOOKOFF とよあけ店,愛知県豊明市新田町門先11-13,35.0512944,137.0182852
10259,BOOKOFF 静岡馬渕店,静岡県静岡市駿河区馬渕3-4-6,34.96397741,138.3912312
10265,BOOKOFF 秦野渋沢店,神奈川県秦野市平沢363-3,35.37182283,139.1949136
10266,BOOKOFF 具志川店,沖縄県うるま市田場1222-1,26.37069698,127.8523903
